DBMS,Rank_Apr-2023,Rank_Mar-2023,Rank_Apr-2022,Database Model,Score_Apr-2023,Score_Mar-2023,Score_Apr-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
SenseiDB,362.0,357.0,333.0,Document,0.17,0.00,+0.12,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no
SiriDB,362.0,357.0,351.0,Time Series,0.17,0.00,+0.17,https://db-engines.com/en/system/SiriDB,,Cesbit,"Open Source,Time Series DBMS",2017.0,,Open Source,MIT License,no
NosDB,364.0,366.0,351.0,Document,0.17,+0.01,+0.17,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no
Alibaba Cloud TSDB,365.0,367.0,271.0,Time Series,0.17,+0.01,-0.11,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes
Faircom DB,366.0,351.0,254.0,Multi-model,0.17,-0.02,-0.25,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,,commercial,"Restricted, free version available",no
Transwarp KunDB,367.0,336.0,338.0,Relational,0.16,-0.07,+0.14,https://db-engines.com/en/system/Transwarp+KunDB,,Transwarp,"OLTP DBMS based on a distributed architecture and highly compatible with,MySQL,and,Oracle",,,commercial,,no
Skytable,368.0,326.0,,Key-value,0.16,-0.09,,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no
iBoxDB,369.0,343.0,351.0,Document,0.16,-0.03,+0.16,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no
XtremeData,370.0,337.0,302.0,Relational,0.15,-0.07,+0.03,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no
TomP2P,371.0,353.0,351.0,Key-value,0.15,-0.02,+0.15,https://db-engines.com/en/system/TomP2P,,,Distributed Key-Value store,2004.0,,Open Source,Apache Version 2,no
EsgynDB,372.0,354.0,284.0,Relational,0.14,-0.03,-0.06,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no
IBM Db2 Event Store,373.0,370.0,236.0,Multi-model,0.13,-0.01,-0.39,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,,commercial,free developer edition available,no
Badger,374.0,371.0,301.0,Key-value,0.13,+0.00,+0.00,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no
Fujitsu Enterprise Postgres,375.0,372.0,,"Relational, Multi-model",0.12,+0.00,,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS","PostgreSQL Global Development Group, Fujitsu Australia Software Technology","Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,,commercial,,no
SiteWhere,376.0,350.0,346.0,Time Series,0.12,-0.07,+0.11,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no
DataFS,377.0,374.0,,"Object oriented, Multi-model",0.09,+0.00,,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,,commercial,,no
InfinityDB,378.0,376.0,336.0,Key-value,0.07,0.00,+0.04,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,,commercial,,no
Indica,379.0,389.0,351.0,Search engine,0.07,+0.07,+0.07,https://db-engines.com/en/system/Indica,,,Enterprise Search Engine,2014.0,,commercial,parts of it are open source,no
OushuDB,380.0,373.0,313.0,Relational,0.07,-0.02,-0.03,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,,commercial,,no
AgensGraph,381.0,377.0,321.0,Multi-model,0.06,0.00,-0.01,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",Bitnine Global Inc.,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL",,"2.1, December 2018",Open Source,Apache License 2.0,no
Warp 10,382.0,378.0,285.0,Time Series,0.03,-0.03,-0.17,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or,HBase",,,Open Source,Apache License 2.0,no
SmallSQL,383.0,380.0,311.0,Relational,0.02,+0.00,-0.08,https://db-engines.com/en/system/SmallSQL,,,,,,Open Source,L-GPL,no
ScaleOut StateServer,384.0,381.0,316.0,Key-value,0.02,0.00,-0.07,https://db-engines.com/en/system/ScaleOut+StateServer,,,,,,commercial,,no
SparkleDB,385.0,382.0,332.0,RDF,0.02,0.00,-0.03,https://db-engines.com/en/system/SparkleDB,,,,,,commercial,,no
Resin Cache,386.0,383.0,328.0,Key-value,0.01,0.00,-0.04,https://db-engines.com/en/system/Resin+Cache,,,Distributed cache as part of an application server,,"4.0.65, July 2020",Open Source,"GPLv3, extended commercial license available",no
SWC-DB,387.0,385.0,324.0,"Wide column, Multi-model",0.01,0.00,-0.05,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",Alex Kashirin,"A high performance, scalable,Wide Column DBMS",,"0.5, April 2021",Open Source,GPL V3,no
WakandaDB,388.0,386.0,349.0,Object oriented,0.0,+0.00,+0.00,https://db-engines.com/en/system/WakandaDB,,Wakanda SAS,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no
JaguarDB,389.0,389.0,351.0,Key-value,0.0,+0.00,+0.00,https://db-engines.com/en/system/JaguarDB,,"DataJaguar, Inc.","Performant, highly scalable DBMS for AI and IoT applications",,2.9.4 September 2018,Open Source,GPL V3.0,no
Faircom EDGE,390.0,387.0,296.0,Multi-model,0.0,+0.00,-0.15,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",FairCom Corporation,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments",,"V3, October 2020",commercial,"Restricted, free version available",no
SwayDB,391.0,388.0,344.0,Key-value,0.0,+0.00,-0.02,https://db-engines.com/en/system/SwayDB,,Simer Plaha,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",,,Open Source,GNU Affero GPL V3.0,no
BergDB,392.0,389.0,351.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,BergDB is a Java/.NET in-process time-key-value store.,,,Open Source,Gnu Affero General Public License (AGPL),no
Cachelot.io,392.0,389.0,351.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Cachelot.io,,,In-memory caching system,,,Open Source,Simplified BSD License,no
CortexDB,392.0,389.0,351.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,,,commercial,,no
CovenantSQL,392.0,389.0,351.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",,,Open Source,,no
DaggerDB,392.0,389.0,351.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,,,commercial,,no
EdgelessDB,392.0,389.0,351.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",,,Open Source,GPL V2,no
Galaxybase,392.0,389.0,351.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/Galaxybase,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司","Scalable, ACID-compliant native distributed parallel graph platform",,"Nov 20, November 2021",commercial,,no
Helium,392.0,389.0,351.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,,,commercial,,no
HGraphDB,392.0,375.0,326.0,Graph,0.0,-0.08,-0.06,https://db-engines.com/en/system/HGraphDB,,,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",,,Open Source,Apache 2.0,no
JasDB,392.0,389.0,335.0,Document,0.0,±0.00,-0.03,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no
K-DB,392.0,389.0,351.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no
Newts,392.0,389.0,351.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/Newts,,,"Time Series DBMS based on,Cassandra",2014.0,,Open Source,Apache 2.0,no
NSDb,392.0,389.0,351.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no
PieCloudDB,392.0,384.0,,Relational,0.0,-0.01,,https://db-engines.com/en/system/PieCloudDB,,,A cloud-native analytic database platform with new technologoy for elastic MPP,,,commercial,,yes
Rizhiyi,392.0,389.0,351.0,"Search engine, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",,"Used for unified collecting, indexing, and searching of log file data",2014.0,,commercial,,no
Sadas Engine,392.0,389.0,351.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/Sadas+Engine,,,SADAS Engine is a columnar DBMS specifically designed for high performance in Data warehouse environments,2006.0,,commercial,free trial version available,no
searchxml,392.0,389.0,351.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",,DBMS for structured and unstructured content wrapped with an application server,2015.0,,commercial,,no
SpaceTime,392.0,389.0,351.0,"Spatial DBMS, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no
Tkrzw,392.0,389.0,351.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Tkrzw,,,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,,Open Source,Apache Version 2.0,no
Transwarp ArgoDB,392.0,389.0,351.0,"Relational, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no
Transwarp StellarDB,392.0,389.0,351.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/Transwarp+StellarDB,,,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no
Yaacomo,392.0,389.0,351.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/Yaacomo,,,"OpenCL based in-memory,RDBMS,, designed for efficiently utilizing the hardware via parallel computing",2009.0,,commercial,,no
Yanza,392.0,379.0,351.0,Time Series,0.0,-0.04,±0.00,https://db-engines.com/en/system/Yanza,,,Time Series DBMS for IoT Applications,2015.0,,commercial,free version available,no
