DBMS,Rank_Feb-2023,Rank_Jan-2023,Rank_Feb-2022,Database Model,Score_Feb-2023,Score_Jan-2023,Score_Feb-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
EsgynDB,363.0,348.0,283.0,Relational,0.17,-0.01,-0.07,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no
Alibaba Cloud TSDB,364.0,364.0,269.0,Time Series,0.16,+0.05,-0.14,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes
IBM Db2 Event Store,365.0,345.0,236.0,Multi-model,0.15,-0.03,-0.37,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,2.0,commercial,free developer edition available,no
Linter,366.0,363.0,327.0,"Relational, Multi-model",0.15,+0.02,+0.10,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",relex.ru/en,RDBMS for high security requirements,1990.0,,commercial,,no
Faircom DB,367.0,351.0,243.0,Multi-model,0.15,-0.02,-0.33,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V12, November 2020",commercial,"Restricted, free version available",no
AntDB,368.0,,,Relational,0.14,,,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,"community version available at,github.com/ADBSQL/AntDB",no
HGraphDB,369.0,355.0,355.0,Graph,0.13,-0.03,+0.12,https://db-engines.com/en/system/HGraphDB,,,"HGraphDB is a client layer for using,HBase,as a graph database by implementing the Tinkerpop 3 interfaces",2016.0,,Open Source,Apache 2.0,no
Fujitsu Enterprise Postgres,370.0,356.0,,"Relational, Multi-model",0.12,-0.03,,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS","PostgreSQL Global Development Group, Fujitsu Australia Software Technology","Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 14, January 2022",commercial,,no
Badger,371.0,362.0,299.0,Key-value,0.12,-0.01,-0.01,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no
SenseiDB,372.0,354.0,320.0,Document,0.12,-0.04,+0.05,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no
DataFS,373.0,382.0,,"Object oriented, Multi-model",0.09,+0.09,,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,"1.1.263, October 2022",commercial,,no
OushuDB,374.0,367.0,,Relational,0.08,0.00,,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,"4.0.1, August 2020",commercial,,no
AgensGraph,375.0,370.0,317.0,Multi-model,0.07,+0.00,0.00,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",Bitnine Global Inc.,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL",2016.0,"2.1, December 2018",Open Source,Apache License 2.0,no
Kyoto Tycoon,376.0,357.0,322.0,Key-value,0.06,-0.09,+0.00,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no
InfinityDB,377.0,376.0,323.0,Key-value,0.05,+0.02,0.00,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,4.0,commercial,,no
Warp 10,378.0,369.0,282.0,Time Series,0.05,-0.02,-0.20,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or,HBase",2015.0,,Open Source,Apache License 2.0,no
SmallSQL,379.0,368.0,324.0,Relational,0.04,-0.03,-0.02,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no
ScaleOut StateServer,380.0,371.0,342.0,Key-value,0.04,-0.02,+0.01,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no
SparkleDB,381.0,372.0,359.0,RDF,0.04,-0.02,+0.04,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no
Resin Cache,382.0,373.0,310.0,Key-value,0.03,-0.01,-0.08,https://db-engines.com/en/system/Resin+Cache,,,,1998.0,,Open Source,"GPLv3, extended commercial license available",no
SWC-DB,383.0,375.0,326.0,"Wide column, Multi-model",0.02,-0.01,-0.03,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",,,2020.0,,Open Source,GPL V3,no
Sadas Engine,384.0,374.0,345.0,Relational,0.02,-0.02,-0.01,https://db-engines.com/en/system/Sadas+Engine,,,,2006.0,,commercial,free trial version available,no
Rizhiyi,385.0,377.0,359.0,"Search engine, Multi-model",0.02,0.00,+0.02,https://db-engines.com/en/system/Rizhiyi,"Search engine,Time Series DBMS",,,2014.0,,commercial,,no
WakandaDB,386.0,378.0,331.0,Object oriented,0.01,0.00,-0.04,https://db-engines.com/en/system/WakandaDB,,,,2012.0,,Open Source,"AGPLv3, extended commercial license available",no
Faircom EDGE,387.0,380.0,277.0,Multi-model,0.0,-0.01,-0.26,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",,,1979.0,,commercial,"Restricted, free version available",no
SwayDB,388.0,381.0,335.0,Key-value,0.0,0.00,-0.04,https://db-engines.com/en/system/SwayDB,,,,2018.0,,Open Source,GNU Affero GPL V3.0,no
BergDB,389.0,382.0,359.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no
Cachelot.io,389.0,382.0,359.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Cachelot.io,,,,2015.0,,Open Source,Simplified BSD License,no
CortexDB,389.0,382.0,359.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no
CovenantSQL,389.0,382.0,359.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,,2018.0,,Open Source,,no
DaggerDB,389.0,382.0,359.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,,2014.0,,commercial,,no
EdgelessDB,389.0,382.0,359.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,,,2021.0,,Open Source,GPL V2,no
Galaxybase,389.0,382.0,332.0,Graph,0.0,±0.00,-0.04,https://db-engines.com/en/system/Galaxybase,,,,2017.0,,commercial,,no
Helium,389.0,382.0,359.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,,,2013.0,,commercial,,no
Indica,389.0,382.0,359.0,Search engine,0.0,±0.00,±0.00,https://db-engines.com/en/system/Indica,,,,2014.0,,commercial,parts of it are open source,no
JaguarDB,389.0,379.0,340.0,Key-value,0.0,-0.01,-0.03,https://db-engines.com/en/system/JaguarDB,,,,2015.0,,Open Source,GPL V3.0,no
JasDB,389.0,382.0,359.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no
K-DB,389.0,382.0,359.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,,,,,commercial,,no
Newts,389.0,382.0,352.0,Time Series,0.0,±0.00,-0.01,https://db-engines.com/en/system/Newts,,OpenNMS Group,"Time Series DBMS based on,Cassandra",2014.0,,Open Source,Apache 2.0,no
NSDb,389.0,382.0,353.0,Time Series,0.0,±0.00,-0.01,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no
PieCloudDB,389.0,,,Relational,0.0,,,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,,commercial,,yes
searchxml,389.0,382.0,359.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/searchxml,"Native XML DBMS,Search engine",informationpartners gmbh,DBMS for structured and unstructured content wrapped with an application server,2015.0,,commercial,,no
SpaceTime,389.0,382.0,359.0,"Spatial DBMS, Multi-model",0.0,±0.00,±0.00,https://db-engines.com/en/system/SpaceTime,"Spatial DBMS,Relational DBMS",Mireo,SpaceTime is a spatio-temporal DBMS with a focus on performance.,2020.0,,commercial,,no
Tkrzw,389.0,382.0,346.0,Key-value,0.0,±0.00,-0.03,https://db-engines.com/en/system/Tkrzw,,Mikio Hirabayashi,"A concept of libraries, allowing an application program to store and query key-value pairs in a file. Successor of,Tokyo Cabinet,and,Kyoto Cabinet",2020.0,,Open Source,Apache Version 2.0,no
Transwarp ArgoDB,389.0,382.0,,"Relational, Multi-model",0.0,±0.00,,https://db-engines.com/en/system/Transwarp+ArgoDB,"Relational DBMS,Search engine",Transwarp,Distributed Analytical Database to replace Hadoop+MPP hybrid architecture,,,commercial,,no
Transwarp StellarDB,389.0,382.0,,Graph,0.0,±0.00,,https://db-engines.com/en/system/Transwarp+StellarDB,,Transwarp,A distributed graph DBMS built for enterprise-level graph applications,,,commercial,,no
Yaacomo,389.0,382.0,357.0,Relational,0.0,±0.00,-0.01,https://db-engines.com/en/system/Yaacomo,,Q2WEB GmbH,"OpenCL based in-memory,RDBMS,, designed for efficiently utilizing the hardware via parallel computing",2009.0,,commercial,,no
Yanza,389.0,382.0,359.0,Time Series,0.0,±0.00,±0.00,https://db-engines.com/en/system/Yanza,,Yanza,Time Series DBMS for IoT Applications,2015.0,,commercial,free version available,no
